year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2018,entrance,2018-04-01,M<c3><a9>dia dos Domingos,927,99,metro,Sistema METRO,METRO System
2018,entrance,2018-04-01,M<c3><a1>xima Di<c3><a1>ria,1102,1,metro,Azul,Blue
2018,entrance,2018-04-01,M<c3><a1>xima Di<c3><a1>ria,594,2,metro,Verde,Green
2018,entrance,2018-04-01,M<c3><a1>xima Di<c3><a1>ria,1289,3,metro,Vermelha,Red
2018,entrance,2018-04-01,M<c3><a1>xima Di<c3><a1>ria,331,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-04-01,M<c3><a1>xima Di<c3><a1>ria,13,15,metro,Prata,Silver
2018,entrance,2018-04-01,M<c3><a1>xima Di<c3><a1>ria,3315,99,metro,Sistema METRO,METRO System
2018,entrance,2018-05-01,Total,26746,1,metro,Azul,Blue
2018,entrance,2018-05-01,Total,13961,2,metro,Verde,Green
2018,entrance,2018-05-01,Total,31441,3,metro,Vermelha,Red
2018,entrance,2018-05-01,Total,8106,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-05-01,Total,282,15,metro,Prata,Silver
2018,entrance,2018-05-01,Total,80535,99,metro,Sistema METRO,METRO System
2018,entrance,2018-05-01,M<c3><a9>dia dos Dias <c3><9a>teis,1061,1,metro,Azul,Blue
2018,entrance,2018-05-01,M<c3><a9>dia dos Dias <c3><9a>teis,564,2,metro,Verde,Green
2018,entrance,2018-05-01,M<c3><a9>dia dos Dias <c3><9a>teis,1223,3,metro,Vermelha,Red
2018,entrance,2018-05-01,M<c3><a9>dia dos Dias <c3><9a>teis,322,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-05-01,M<c3><a9>dia dos Dias <c3><9a>teis,12,15,metro,Prata,Silver
2018,entrance,2018-05-01,M<c3><a9>dia dos Dias <c3><9a>teis,3182,99,metro,Sistema METRO,METRO System
2018,entrance,2018-05-01,M<c3><a9>dia dos S<c3><a1>bados,591,1,metro,Azul,Blue
2018,entrance,2018-05-01,M<c3><a9>dia dos S<c3><a1>bados,266,2,metro,Verde,Green
2018,entrance,2018-05-01,M<c3><a9>dia dos S<c3><a1>bados,740,3,metro,Vermelha,Red
2018,entrance,2018-05-01,M<c3><a9>dia dos S<c3><a1>bados,184,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-05-01,M<c3><a9>dia dos S<c3><a1>bados,3,15,metro,Prata,Silver
2018,entrance,2018-05-01,M<c3><a9>dia dos S<c3><a1>bados,1783,99,metro,Sistema METRO,METRO System
