date,year,line_number,station_code,station_name,passengers
2020-01-08,2020,1,jqm,São Joaquim,21.8
2020-01-08,2020,1,jud,São Judas,17.3
2020-01-08,2020,1,lib,Japão-Liberdade,21.4
2020-01-08,2020,1,luz,Luz,127
2020-01-08,2020,1,pig,Parada Inglesa,13.7
2020-01-08,2020,1,ppq,Armênia,24
2020-01-08,2020,1,pse,Sé,23.6
2020-01-08,2020,1,pso,Paraíso,21.5
2020-01-08,2020,1,san,Santana,55.2
2020-01-08,2020,1,sau,Saúde,30.5
2020-01-08,2020,1,scz,Santa Cruz,99.4
2020-01-08,2020,1,trd,Tiradentes,12.4
2020-01-08,2020,1,tte,Portuguesa-Tietê,55.2
2020-01-08,2020,1,tuc,Tucuruvi,62.3
2020-01-08,2020,1,vgo,Vergueiro,26.6
2020-01-08,2020,1,vmn,Vila Mariana,17.6
2020-01-08,2020,2,aip,Alto do Ipiranga,17
2020-01-08,2020,2,anr,Ana Rosa,10.9
2020-01-08,2020,2,bgd,Brigadeiro,56.1
2020-01-08,2020,2,ckb,Chácara Klabin,69.6
2020-01-08,2020,2,cli,Clínicas,21.7
2020-01-08,2020,2,cns,Consolação,111.5
2020-01-08,2020,2,img,Santos-Imigrantes,14
2020-01-08,2020,2,pso,Paraíso,12.1
2020-01-08,2020,2,sac,Sacomã,39.1
2020-01-08,2020,2,sum,Sumaré,11.8
2020-01-08,2020,2,tri,Trianon-Masp,50.8
2020-01-08,2020,2,tti,Tamanduateí,69.1
2020-01-08,2020,2,vmd,Vila Madalena,23
2020-01-08,2020,2,vpt,Vila Prudente,20.1
2020-01-08,2020,3,art,Artur Alvim,56.2
2020-01-08,2020,3,bas,Brás,90.6
2020-01-08,2020,3,bel,Belém,40
2020-01-08,2020,3,bfu,Palmeiras-Barra Funda,177.4
2020-01-08,2020,3,bre,Bresser-Moóca,29.5
2020-01-08,2020,3,car,Carrão,40.5
2020-01-08,2020,3,cec,Santa Cecília,28
2020-01-08,2020,3,deo,Marechal Deodoro,29.3
2020-01-08,2020,3,gbu,Anhangabaú,58.3
2020-01-08,2020,3,itq,Corinthians-Itaquera,79.1
2020-01-08,2020,3,pca,Patriarca,21.3
2020-01-08,2020,3,pds,Pedro II,20.3
2020-01-08,2020,3,pen,Penha,28.4
2020-01-08,2020,3,pse,Sé,34
2020-01-08,2020,3,rep,República,144
2020-01-08,2020,3,tat,Tatuapé,79.6
2020-01-08,2020,3,vpa,Guilhermina-Esperança,20.9
2020-01-08,2020,3,vtd,Vila Matilde,26
2020-01-08,2020,15,cad,Camilo Haddad,3.2
2020-01-08,2020,15,fjt,Fazenda da Juta,2.6
2020-01-08,2020,15,jpl,Jardim Planalto,4.1
2020-01-08,2020,15,mat,São Mateus,11.2
2020-01-08,2020,15,ort,Oratório,5.8
2020-01-08,2020,15,sap,Sapopemba,5.9
2020-01-08,2020,15,slu,São Lucas,4.6
2020-01-08,2020,15,vpm,Vila Prudente,9.3
2020-01-08,2020,15,vtl,Vila Tolstói,4.2
2020-01-08,2020,15,vun,Vila União,5.2
2020-01-09,2020,1,anr,Ana Rosa,19.8
2020-01-09,2020,1,arv,Praça da Árvore,18.5
2020-01-09,2020,1,bto,São Bento,69.5
2020-01-09,2020,1,cdu,Carandiru,12.6
