date,year,line_number,station_code,station_name,passengers
2012-03-22,2012,4,NA,Faria Lima,39469
2012-03-22,2012,4,NA,Luz,6137
2012-03-22,2012,4,NA,Paulista,27175
2012-03-22,2012,4,NA,Pinheiros,8228
2012-03-23,2012,4,NA,Butantã,55985
2012-03-23,2012,4,NA,Faria Lima,40038
2012-03-23,2012,4,NA,Luz,6080
2012-03-23,2012,4,NA,Paulista,26677
2012-03-23,2012,4,NA,Pinheiros,8502
2012-03-24,2012,4,NA,Butantã,28005
2012-03-24,2012,4,NA,Faria Lima,18734
2012-03-24,2012,4,NA,Luz,3432
2012-03-24,2012,4,NA,Paulista,9379
2012-03-24,2012,4,NA,Pinheiros,2038
2012-03-25,2012,4,NA,Butantã,15392
2012-03-25,2012,4,NA,Faria Lima,11907
2012-03-25,2012,4,NA,Luz,1220
2012-03-25,2012,4,NA,Paulista,4192
2012-03-25,2012,4,NA,Pinheiros,1323
2012-03-26,2012,4,NA,Butantã,55042
2012-03-26,2012,4,NA,Faria Lima,37763
2012-03-26,2012,4,NA,Luz,5931
2012-03-26,2012,4,NA,Paulista,26263
2012-03-26,2012,4,NA,Pinheiros,8154
2012-03-27,2012,4,NA,Butantã,55738
2012-03-27,2012,4,NA,Faria Lima,40730
2012-03-27,2012,4,NA,Luz,6442
2012-03-27,2012,4,NA,Paulista,28489
2012-03-27,2012,4,NA,Pinheiros,8477
2012-03-28,2012,4,NA,Butantã,55307
2012-03-28,2012,4,NA,Faria Lima,38872
2012-03-28,2012,4,NA,Luz,5882
2012-03-28,2012,4,NA,Paulista,26872
2012-03-28,2012,4,NA,Pinheiros,8301
2012-03-29,2012,4,NA,Butantã,54503
2012-03-29,2012,4,NA,Faria Lima,39357
2012-03-29,2012,4,NA,Luz,6163
2012-03-29,2012,4,NA,Paulista,27031
2012-03-29,2012,4,NA,Pinheiros,8364
2012-03-30,2012,4,NA,Butantã,56350
2012-03-30,2012,4,NA,Faria Lima,40900
2012-03-30,2012,4,NA,Luz,6204
2012-03-30,2012,4,NA,Paulista,27262
2012-03-30,2012,4,NA,Pinheiros,8465
2012-03-31,2012,4,NA,Butantã,28886
2012-03-31,2012,4,NA,Faria Lima,19530
2012-03-31,2012,4,NA,Luz,3687
2012-03-31,2012,4,NA,Paulista,10026
2012-03-31,2012,4,NA,Pinheiros,2091
2012-04-01,2012,4,NA,Butantã,16590
2012-04-01,2012,4,NA,Faria Lima,12780
2012-04-01,2012,4,NA,Luz,1331
2012-04-01,2012,4,NA,Paulista,4407
2012-04-01,2012,4,NA,Pinheiros,1317
2012-04-02,2012,4,NA,Butantã,51071
2012-04-02,2012,4,NA,Faria Lima,39857
2012-04-02,2012,4,NA,Luz,6176
2012-04-02,2012,4,NA,Paulista,26194
2012-04-02,2012,4,NA,Pinheiros,8190
2012-04-03,2012,4,NA,Butantã,52112
2012-04-03,2012,4,NA,Faria Lima,40125
2012-04-03,2012,4,NA,Luz,6218
2012-04-03,2012,4,NA,Paulista,27328
2012-04-03,2012,4,NA,Pinheiros,8294
2012-04-04,2012,4,NA,Butantã,52618
2012-04-04,2012,4,NA,Faria Lima,41130
2012-04-04,2012,4,NA,Luz,6399
2012-04-04,2012,4,NA,Paulista,27408
2012-04-04,2012,4,NA,Pinheiros,8523
2012-04-05,2012,4,NA,Butantã,53296
2012-04-05,2012,4,NA,Faria Lima,42659
2012-04-05,2012,4,NA,Luz,6329
2012-04-05,2012,4,NA,Paulista,26213
2012-04-05,2012,4,NA,Pinheiros,8268
2012-04-06,2012,4,NA,Butantã,16533
2012-04-06,2012,4,NA,Faria Lima,10625
2012-04-06,2012,4,NA,Luz,1275
2012-04-06,2012,4,NA,Paulista,4636
2012-04-06,2012,4,NA,Pinheiros,1043
2012-04-07,2012,4,NA,Butantã,26444
2012-04-07,2012,4,NA,Faria Lima,15633
2012-04-07,2012,4,NA,Luz,3338
2012-04-07,2012,4,NA,Paulista,8254
2012-04-07,2012,4,NA,Pinheiros,1463
2012-04-08,2012,4,NA,Butantã,26366
2012-04-08,2012,4,NA,Faria Lima,12280
2012-04-08,2012,4,NA,Luz,1121
2012-04-08,2012,4,NA,Paulista,4450
2012-04-08,2012,4,NA,Pinheiros,1275
2012-04-09,2012,4,NA,Butantã,57048
2012-04-09,2012,4,NA,Faria Lima,38680
2012-04-09,2012,4,NA,Luz,6208
2012-04-09,2012,4,NA,Paulista,26255
2012-04-09,2012,4,NA,Pinheiros,8178
2012-04-10,2012,4,NA,Butantã,54972
2012-04-10,2012,4,NA,Faria Lima,40640
2012-04-10,2012,4,NA,Luz,6425
2012-04-10,2012,4,NA,Paulista,27108
2012-04-10,2012,4,NA,Pinheiros,8469
2012-04-11,2012,4,NA,Butantã,56282
2012-04-11,2012,4,NA,Faria Lima,41490
2012-04-11,2012,4,NA,Luz,6447
2012-04-11,2012,4,NA,Paulista,28099
2012-04-11,2012,4,NA,Pinheiros,8348
2012-04-12,2012,4,NA,Butantã,56407
2012-04-12,2012,4,NA,Faria Lima,40766
2012-04-12,2012,4,NA,Luz,6529
2012-04-12,2012,4,NA,Paulista,28020
2012-04-12,2012,4,NA,Pinheiros,8535
2012-04-13,2012,4,NA,Butantã,56658
2012-04-13,2012,4,NA,Faria Lima,41684
2012-04-13,2012,4,NA,Luz,6545
2012-04-13,2012,4,NA,Paulista,27271
2012-04-13,2012,4,NA,Pinheiros,8413
2012-04-14,2012,4,NA,Butantã,29930
2012-04-14,2012,4,NA,Faria Lima,20203
2012-04-14,2012,4,NA,Luz,3751
2012-04-14,2012,4,NA,Paulista,9724
2012-04-14,2012,4,NA,Pinheiros,2271
2012-04-15,2012,4,NA,Butantã,15984
2012-04-15,2012,4,NA,Faria Lima,13753
2012-04-15,2012,4,NA,Luz,1241
2012-04-15,2012,4,NA,Paulista,4253
2012-04-15,2012,4,NA,Pinheiros,1446
2012-04-16,2012,4,NA,Butantã,54662
2012-04-16,2012,4,NA,Faria Lima,38936
2012-04-16,2012,4,NA,Luz,6166
2012-04-16,2012,4,NA,Paulista,26239
2012-04-16,2012,4,NA,Pinheiros,8146
2012-04-17,2012,4,NA,Butantã,55873
2012-04-17,2012,4,NA,Faria Lima,40412
